ars,name,designation,postal_code,district,state,lat,lng,population
066340019019,Oberaula,,36280,Schwalm-Eder-Kreis,Hessen,50.858277,9.471075,3251
096740159159,Oberaurach,,97514,Haßberge,Bayern,49.926205,10.660283,4053
071415007100,Oberbachheim,,56355,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.245294,7.748298,206
120645408370,Oberbarnim,,15377,Märkisch-Oderland,Brandenburg,52.590786,13.949866,2069
091835150132,Oberbergkirchen,,84564,Mühldorf a.Inn,Bayern,48.305288,12.386144,1741
072335006053,Oberbettingen,,54578,Vulkaneifel,Rheinland-Pfalz,50.286013,6.62547,759
072355003096,Oberbillig,,54331,Trier-Saarburg,Rheinland-Pfalz,49.709823,6.504809,969
160745007064,Oberbodnitz,,07646,Saale-Holzland-Kreis,Thüringen,50.811324,11.658954,233
081165005050,Oberboihingen,,72644,Esslingen,Baden-Württemberg,48.647727,9.366724,5644
071345002062,Oberbrombach,,55767,Birkenfeld,Rheinland-Pfalz,49.697736,7.261138,387
160655002051,Oberbösa,,99718,Kyffhäuserkreis,Thüringen,51.288583,11.016094,291
095710183183,Oberdachstetten,,91617,Ansbach,Bayern,49.416099,10.423792,1628
082155005059,Oberderdingen,Stadt,75038,Karlsruhe,Baden-Württemberg,49.062716,8.80201,11690
073395001044,Oberdiebach,,55413,Mainz-Bingen,Rheinland-Pfalz,50.03253,7.777213,830
091775123133,Oberding,,85445,Erding,Bayern,48.322653,11.845524,6251
084255005088,Oberdischingen,,89610,Alb-Donau-Kreis,Baden-Württemberg,48.30176,9.830802,2339
091765119150,Oberdolling,,85129,Eichstätt,Bayern,48.829248,11.592558,1360
071385005052,Oberdreis,,57639,Neuwied,Rheinland-Pfalz,50.627043,7.663439,890
071315004059,Oberdürenbach,,56651,Ahrweiler,Rheinland-Pfalz,50.468699,7.159219,669
130765662164,Obere Warnow,,19374,Ludwigslust-Parchim,Mecklenburg-Vorpommern,53.515875,11.864852,736
072335006054,Oberehe-Stroheich,,54578,Vulkaneifel,Rheinland-Pfalz,50.280611,6.770381,311
071435004057,Oberelbert,,56412,Westerwaldkreis,Rheinland-Pfalz,50.389904,7.816133,1193
096730149149,Oberelsbach,M,97656,Rhön-Grabfeld,Bayern,50.440597,10.119621,2647
072335004230,Oberelz,,56767,Vulkaneifel,Rheinland-Pfalz,50.267418,7.05106,122
071435008058,Obererbach,,56414,Westerwaldkreis,Rheinland-Pfalz,50.442095,7.966948,503
071325010081,Obererbach (Westerwald),,57612,Altenkirchen (Westerwald),Rheinland-Pfalz,50.724745,7.65685,547
071375009220,Oberfell,,56332,Mayen-Koblenz,Rheinland-Pfalz,50.257286,7.447717,1149
071415011101,Oberfischbach,,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.24865,7.955148,147
072325005503,Obergeckler,,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.972619,6.291372,187
097715704149,Obergriesbach,,86573,Aichach-Friedberg,Bayern,48.421666,11.064895,2030
081365005049,Obergröningen,,73569,Ostalbkreis,Baden-Württemberg,48.893895,9.909802,427
146255212390,Obergurig / Hornja Hórka,,02692,Bautzen,Sachsen,51.1308,14.405921,2047
097775754154,Obergünzburg,M,87634,Ostallgäu,Bayern,47.845843,10.419253,6387
091840134134,Oberhaching,,82035,München,Bayern,48.026481,11.589825,13318
071435005059,Oberhaid,,56237,Westerwaldkreis,Rheinland-Pfalz,50.508422,7.719068,389
094710165165,Oberhaid,,96173,Bamberg,Bayern,49.932466,10.815828,4542
071345002063,Oberhambach,,55765,Birkenfeld,Rheinland-Pfalz,49.686167,7.156184,275
083175014088,Oberharmersbach,,77784,Ortenaukreis,Baden-Württemberg,48.373266,8.126396,2397
150850228228,Oberharz am Brocken,Stadt,38875,Harz,Sachsen-Anhalt,51.769516,10.803213,9547
051190000000,Oberhausen,Stadt,46045,Oberhausen,Nordrhein-Westfalen,51.470317,6.852291,213646
073375002058,Oberhausen,,76887,Südliche Weinstraße,Rheinland-Pfalz,49.097988,8.057771,463
091850150150,Oberhausen,,86697,Neuburg-Schrobenhausen,Bayern,48.719613,11.109004,3231
091905177135,Oberhausen,,82386,Weilheim-Schongau,Bayern,47.778332,11.130637,2129
073335007053,Oberhausen an der Appel,,67822,Donnersbergkreis,Rheinland-Pfalz,49.720679,7.867992,137
071335006074,Oberhausen an der Nahe,,55585,Bad Kreuznach,Rheinland-Pfalz,49.790896,7.757693,357
071335009073,Oberhausen bei Kirn,,55606,Bad Kreuznach,Rheinland-Pfalz,49.809723,7.450709,908
082155006107,Oberhausen-Rheinhausen,,68794,Karlsruhe,Baden-Württemberg,49.260511,8.482728,9565
073395001045,Oberheimbach,,55413,Mainz-Bingen,Rheinland-Pfalz,50.022174,7.784279,503
160655056052,Oberheldrungen,,06577,Kyffhäuserkreis,Thüringen,51.279086,11.245388,711
160660047047,Oberhof,Stadt,98559,Schmalkalden-Meiningen,Thüringen,50.705822,10.724395,1592
071385009053,Oberhonnefeld-Gierend,,56587,Neuwied,Rheinland-Pfalz,50.553865,7.516765,1051
071345005064,Oberhosenbach,,55758,Birkenfeld,Rheinland-Pfalz,49.813288,7.330575,121
095755519155,Oberickelsheim,,97258,Neustadt a.d.Aisch-Bad Windsheim,Bayern,49.599867,10.136126,715
071325010082,Oberirsen,,57635,Altenkirchen (Westerwald),Rheinland-Pfalz,50.722857,7.582777,608
072325008282,Oberkail,,54533,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.037031,6.679024,570
083175009089,Oberkirch,Stadt,77704,Ortenaukreis,Baden-Württemberg,48.531805,8.077097,19847
071345005065,Oberkirn,,55624,Birkenfeld,Rheinland-Pfalz,49.884966,7.372074,330
081360050050,Oberkochen,Stadt,73447,Ostalbkreis,Baden-Württemberg,48.784042,10.105585,7746
